,코인 명,공시 명,날짜,마켓,전일 종가,최저가,최고가,BTC 상승률,상승률
527,QKC," 쿼크체인, 체인링크와 파트너쉽",2019.07.26,KRW,16.4,16.3,17.1,1.14%,4.27%
528,MBL," 무비블록, 투자 기관 락업 및 베스팅 기간 연장 공시",2019.07.26,KRW,2.9,2.86,3.18,1.14%,9.66%
529,UPP," 센티넬프로토콜, Kyber Network (카이버네트워크)와 파트너쉽 체결",2019.07.25,KRW,20.3,20.0,30.5,-1.58%,50.25%
530,META," 메타디움, 부산시의 블록체인 기반 공공안전 영상제보 서비스에 메타디움 DID 기술 적용",2019.07.25,조회 불가,조회 불가,조회 불가,조회 불가,-0.0157667204,조회 불가
531,TTC," 티티씨, BTC.com과 파트너쉽 체결 및 BTC.com 대표자 참여",2019.07.24,조회 불가,조회 불가,조회 불가,조회 불가,-0.0416734362,조회 불가
532,RFR," 리퍼리움, 배틀그라운드(PUBG)와 파트너쉽 발표",2019.07.24,KRW,1.82,1.81,2.29,-4.17%,25.82%
533,STPT," STP네트워크, FBG Capital로 부터 추가 투자 유치 공시",2019.07.23,조회 불가,조회 불가,조회 불가,조회 불가,-0.0202944688,조회 불가
534,KMD," 코모도, 플랫폼 리브랜딩 및 주요제품 공개 (Antara, AtomicDEX) 공시",2019.07.19,KRW,1465.0,1380.0,1615.0,8.68%,10.24%
535,EMC2," 아인스타이늄, 13.6 네트워크 업데이트 공시",2019.07.18,KRW,65.6,61.0,68.0,1.88%,3.66%
536,TTC," 티티씨, 7월 16일 공시 3건",2019.07.16,조회 불가,조회 불가,조회 불가,조회 불가,0.059637827,조회 불가
537,CRE," 캐리프로토콜, 캐리 토큰(CRE) 언락 물량 조정 공시",2019.07.12,KRW,23.5,19.0,23.5,-5.65%,0.0%
538,COSM," 코스모체인, 투자유치 및 바이백 진행 관련 공시",2019.07.12,조회 불가,조회 불가,조회 불가,조회 불가,-0.0565262076,조회 불가
539,IGNIS," 이그니스, GPS 토큰 에어드랍을 위한 스냅샷 블록 높이 및 Coal 토큰 에어드랍 관련 공시",2019.07.10,KRW,84.9,79.1,86.5,2.54%,1.88%
540,SOLVE," 솔브케어, 우버 헬스와 파트너쉽 체결",2019.07.10,KRW,379.0,368.0,421.0,2.54%,11.08%
541,MOC," 모스랜드, 삼성 블록체인 월렛 공식 지원",2019.07.09,KRW,67.0,64.5,76.8,6.72%,14.63%
542,CRE," 캐리프로토콜, 캐리 토큰(CRE) ‘바이백(buy-back)’ 진행",2019.07.08,KRW,27.8,27.4,28.9,0.33%,3.96%
543,COSM," 코스모체인, 2019년 7월 주요 공시",2019.07.08,조회 불가,조회 불가,조회 불가,조회 불가,0.0033071213,조회 불가
544,TT," 썬더코어, 팀 토큰 락업과 토큰 분배 일정의 변경 공시",2019.07.02,KRW,19.1,18.8,20.6,-4.21%,7.85%
545,STPT," STP네트워크, MTO모델공개 및 무비블록 MTO 공시",2019.07.02,조회 불가,조회 불가,조회 불가,조회 불가,-0.0421354511,조회 불가
546,QKC," 쿼크체인, 메인넷 트랜잭션 기능 공식 오픈 (6/30)",2019.07.01,KRW,21.5,21.4,27.3,-6.71%,26.98%
547,QKC," 쿼크체인, 쿼크체인의 ERC20토큰 40%(40억개) 소멸 안내 (7/1)",2019.07.01,KRW,21.5,21.4,27.3,-6.71%,26.98%
548,POWR," 파워렛저, 미국에서 REC(신재생에너지공인인증서) 거래 플랫폼을 선보인다.",2019.07.01,KRW,132.0,125.0,133.0,-6.71%,0.76%
549,QKC," 쿼크체인, 락업 QKC 토큰 중 2019년 분량 토큰 전량 일시 배포",2019.07.01,KRW,21.5,21.4,27.3,-6.71%,26.98%
550,QKC," 쿼크체인, 메인넷 v1.0 ""Singularity"" 출시 완료 (4/30 UTC +0800)",2019.07.01,KRW,21.5,21.4,27.3,-6.71%,26.98%
551,STPT," STP네트워크, Block72 참여 PoB 스테이킹 모델 발표 및 바이백 공시",2019.06.28,조회 불가,조회 불가,조회 불가,조회 불가,-0.1151759808,조회 불가
552,ORBS," 오브스, GLF의 공식 블록체인 인프라 파트너 선정",2019.06.25,조회 불가,조회 불가,조회 불가,조회 불가,0.0165602082,조회 불가
553,COSM," 코스모체인, 2019년 6월 주요 공시",2019.06.24,조회 불가,조회 불가,조회 불가,조회 불가,0.0228262623,조회 불가
554,CRE," 캐리프로토콜, '뱅크샐러드'와 ECA 파트너쉽 체결",2019.06.21,KRW,47.5,44.0,50.6,2.59%,6.53%
555,POWR," 파워렛저, 오스트리아에서 P2P 에너지 거래 관련 파트너쉽 체결",2019.06.19,KRW,142.0,137.0,150.0,-1.38%,5.63%
556,MEDX," 메디블록, 세브란스병원과 블록체인 기반 플랫폼 구축",2019.06.18,조회 불가,조회 불가,조회 불가,조회 불가,0.0322128852,조회 불가
557,CRE," 캐리프로토콜, 파트너쉽 체결 관련 공시",2019.06.17,KRW,52.0,46.2,54.6,1.73%,5.0%
558,META," 메타디움, 업무제휴 관련 공시 2건",2019.06.17,조회 불가,조회 불가,조회 불가,조회 불가,0.017287234,조회 불가
559,SOLVE," 솔브케어, 베링거인겔하임과 파트너쉽 체결",2019.06.07,KRW,622.0,540.0,649.0,-0.92%,4.34%
560,IGNIS," 이그니스, Triffic 앱 GPS 토큰 에어드랍 예정",2019.06.07,KRW,33.2,31.4,33.2,-0.92%,0.0%
561,MEDX," 메디블록, 에어드랍 미수령 수량 전량 소각 완료",2019.06.04,조회 불가,조회 불가,조회 불가,조회 불가,-0.0481675393,조회 불가
562,MEDX," 메디블록, 에어드랍 미수령 수량 전량 소각 예정",2019.06.04,조회 불가,조회 불가,조회 불가,조회 불가,-0.0481675393,조회 불가
563,UPP," 센티넬프로토콜, 제휴관련 공시 2건",2019.05.31,KRW,20.6,18.7,21.1,-1.99%,2.43%
564,ARDR," 아더 플랫폼, ""젤루리다코리아컨설팅 주식회사"" 설립",2019.05.27,KRW,97.3,93.8,111.0,7.35%,14.08%
565,IOST," 아이오에스티, 파트너쉽 체결 관련 공시",2019.05.21,KRW,14.8,14.1,15.1,-1.35%,2.03%
566,IOST," 아이오에스티, 메인넷 토큰스왑 안내",2019.05.21,KRW,14.8,14.1,15.1,-1.35%,2.03%
567,COSM," 코스모체인, 토큰 매도 공시",2019.05.21,조회 불가,조회 불가,조회 불가,조회 불가,-0.0134884679,조회 불가
568,COSM," 코스모체인, 투자 유치 공시",2019.05.21,조회 불가,조회 불가,조회 불가,조회 불가,-0.0134884679,조회 불가
569,MEDX," 메디블록, 의료 마이데이터 지원사업자로 최종 선정",2019.05.16,조회 불가,조회 불가,조회 불가,조회 불가,0.0112643436,조회 불가
570,UPP," 센티넬프로토콜, 출시관련 공시 3건",2019.05.16,KRW,17.1,16.5,18.2,1.13%,6.43%
571,UPP," 센티넬프로토콜, 제휴관련 공시 3건",2019.05.16,KRW,17.1,16.5,18.2,1.13%,6.43%
572,CPT," 콘텐츠프로토콜, CPT의 실사용처, ""CPT 스토어"" 런칭",2019.05.16,조회 불가,조회 불가,조회 불가,조회 불가,0.0112643436,조회 불가
573,MOC," 모스랜드, 주요 마일스톤 달성을 위한 더 헌터스 출시",2019.05.16,KRW,61.7,59.8,65.4,1.13%,6.0%
574,MOC," 모스랜드, 토큰 배분 종료",2019.05.16,KRW,61.7,59.8,65.4,1.13%,6.0%
575,MOC," 모스랜드, 총괄 아트 디렉터 공식 임명",2019.05.16,KRW,61.7,59.8,65.4,1.13%,6.0%
576,MOC," 모스랜드, 구글 파트너쉽 체결",2019.05.15,KRW,55.9,55.4,61.7,2.91%,10.38%
