,코인 명,공시 명,날짜,마켓,전일 종가,최저가,최고가,BTC 상승률,상승률
63,PLA," 플레이댑(PLA), 게임 ‘리그 오브 킹덤즈’ NFT 아이템 거래 지원 시작",2021.02.04,KRW,141.0,140.0,149.0,3.82%,5.67%
64,GOM2," 주요 경영진 변경 : Kyu Lee, CEO로 선임",2021.02.04,BTC,3.8e-07,3.6e-07,3.9e-07,3.82%,2.63%
65,HBAR," 공급망 서비스 플랫폼인 SUKU, 이더리움에서 헤데라로 플랫폼 이전",2021.02.04,KRW,99.7,96.2,103.0,3.82%,3.31%
66,CTSI, 카르테시 신규 로드맵,2021.02.03,BTC,2.04e-06,1.79e-06,2.06e-06,3.53%,0.98%
67,HUM, HUM 토큰 유통량 변화 안내,2021.02.03,KRW,19.5,18.4,20.3,3.53%,4.1%
68,PICA, 피카(PICA) 토큰 소각완료 (2 차),2021.02.03,BTC,1.46e-06,1.35e-06,1.5e-06,3.53%,2.74%
69,WAXP," 왁스 토큰 에포크 3 ( 4,330,000 WAXP) 소각 안내",2021.02.03,KRW,43.8,43.0,45.9,3.53%,4.79%
70,ELF, 주요마일스톤 달성 공시- 엘프메인넷기능 평가판,2021.02.03,KRW,158.0,152.0,163.0,3.53%,3.16%
71,TON," 토카막 네트워크, 바운스 파이낸스와 파트너십 체결 및 에어드랍 이벤트 진행",2021.02.02,KRW,2670.0,2580.0,2680.0,0.58%,0.37%
72,PXL," 픽션네트워크, 2021 년 로드맵 업데이트",2021.02.02,KRW,14.5,14.2,14.7,0.58%,1.38%
73,ENJ," 엔진코인, 부동산 크라우드펀딩 서비스 LABS와 함께 부동산 투자 접근성 향상",2021.02.02,KRW,376.0,341.0,382.0,0.58%,1.6%
74,BFC, Bifrost와 BiFi Chainlink와 파트너쉽 체결,2021.02.02,BTC,1.19e-06,9.8e-07,1.2e-06,0.58%,0.84%
75,AHT, 어뷰징 물량 소각 안내,2021.02.02,KRW,4.06,3.9,4.07,0.58%,0.25%
76,AERGO," AERGO, 탈중앙화 분산신원 검증 플랫폼 CCCV.to에 DApp 인큐베이션 펀드 지원",2021.02.02,KRW,57.2,52.6,58.0,0.58%,1.4%
77,SSX, 썸씽 팀원&어드바이저 락업일정 변경 공시,2021.02.02,KRW,24.0,22.7,24.4,0.58%,1.67%
78,CBK, 코박 전문가칼럼 서비스를 출시,2021.02.01,KRW,2600.0,2520.0,2645.0,-1.83%,1.73%
79,GOM2, 고머니2 거버넌스 투표 기능 오픈,2021.02.01,BTC,3.9e-07,3.6e-07,4.5e-07,-1.83%,15.38%
80,AQT, Alpha Quark Limited(알파쿼크리미티드)에서 AQT의 유통량 공시,2021.02.01,KRW,2025.0,1955.0,2035.0,-1.83%,0.49%
81,PXL," 픽션네트워크, 갤러리 파이낸스 인수로 NFT 사업 가속화",2021.01.29,KRW,14.2,13.8,15.1,6.78%,6.34%
82,FCT2, 피르마체인 2021년 로드맵 업데이트,2021.01.29,KRW,51.2,50.2,53.9,6.78%,5.27%
83,MED," 메디블록, KT-빌게이츠 재단과 ‘SHINE’ 앱 출시",2021.01.29,KRW,5.0,4.95,5.29,6.78%,5.8%
84,HUM," 휴먼스케이프, 서울시 R&D지원사업 ‘서울혁신챌린지’ 우수과제 선정",2021.01.29,KRW,28.7,24.7,37.0,6.78%,28.92%
85,PICA, 피카 토큰으로 예술 작품판매 대금에 대한 일부 소각공시,2021.01.28,BTC,1.28e-06,1.22e-06,1.45e-06,-4.52%,13.28%
86,ITAM, 아이텀 NFT 기반 카드수집 서비스 덕북 출시,2021.01.28,BTC,5.3e-07,4.8e-07,6.3e-07,-4.52%,18.87%
87,STPT," STP 네트워크, 폴카닷 기반 STP 2.0 출시",2021.01.28,KRW,25.9,22.3,26.5,-4.52%,2.32%
88,HBAR, 호주 직불 사업자 eftpos 헤데라 거버닝 카운슬 합류,2021.01.28,KRW,99.8,86.5,99.7,-4.52%,-0.1%
89,DKA," 디카르고, 디스캐너(dScanner) 출시",2021.01.27,KRW,25.4,24.4,25.5,-0.36%,0.39%
90,SAND, 더 샌드박스 1차 퍼블릭 LAND 세일 론칭 예정 (feat. CoinMarketCap 파트너십),2021.01.26,KRW,105.0,102.0,111.0,1.45%,5.71%
91,AHA," 전문가 1:1 온라인 유료상담플랫폼, 아하커넥츠 베타버전 출시",2021.01.26,조회 불가,조회 불가,조회 불가,조회 불가,0.0144911224,조회 불가
92,BFC, BiFi - 코드 공개,2021.01.26,BTC,7.3e-07,6.3e-07,7.7e-07,1.45%,5.48%
93,GOM2," 애니멀고, 제주신화월드 서비스 프로모션 제휴",2021.01.26,BTC,3.4e-07,3.2e-07,4.6e-07,1.45%,35.29%
94,SSX," 썸씽(SSX), 일반인 OST 음원발매를 위해 ‘다산북스’ 등과 공동 업무협약 체결",2021.01.26,KRW,24.7,23.9,25.2,1.45%,2.02%
95,PICA," 피카프로젝트, 세계적인 아티스트 존 버거맨과 손잡고 아트프로젝트 진행",2021.01.25,BTC,1.22e-06,1.19e-06,1.36e-06,0.13%,11.48%
96,GOM2, 애니멀고 게임 추가 런칭과 NFT화,2021.01.25,BTC,3.2e-07,3e-07,3.5e-07,0.13%,9.38%
97,BFC, BiFi 가스비 최적화 업데이트 및 UI 업데이트,2021.01.22,BTC,6.5e-07,6.5e-07,7.1e-07,-12.06%,9.23%
98,WAXP," 왁스 토큰 21,230,000개 소각 안내",2021.01.22,KRW,48.7,44.8,51.0,-12.06%,4.72%
99,OBSR," 옵저버, 아이오타(IOTA)와 해외시장 진출 업무협약 체결",2021.01.22,KRW,4.35,3.91,4.63,-12.06%,6.44%
100,MLK," 밀크, 블록체인 기반 노래방앱 “썸씽(SOMESING)”과 업무협약 체결",2021.01.22,KRW,173.0,160.0,177.0,-12.06%,2.31%
101,SSX," 썸씽(SSX), 블록체인 기반 포인트 통합 플랫폼 “밀크(MiL.k)”와 업무협약 체결",2021.01.22,KRW,27.5,24.3,27.5,-12.06%,0.0%
102,QKC, 하드웨어 지갑 CoolWallet S 쿼크체인 메인넷 토큰 공식 지원 (1/22),2021.01.22,KRW,7.15,6.25,7.15,-12.06%,0.0%
103,FCT2," 피르마체인, 중국 “무애커뮤니티”와 파트너십 체결",2021.01.22,KRW,57.7,53.1,62.0,-12.06%,7.45%
104,PICA," 피카프로젝트, 픽셀네트워크와 손잡고 미술작품 NFT 화 진행",2021.01.21,BTC,1.14e-06,1.08e-06,1.26e-06,-0.85%,10.53%
105,PXL," 픽션네트워크, 피카와 미술품 NFT 화를 위한 MOU 체결",2021.01.21,KRW,16.2,15.2,17.5,-0.85%,8.02%
106,GOM2, 애니멀고마켓 앱 런칭,2021.01.21,BTC,2.9e-07,2.7e-07,2.9e-07,-0.85%,0.0%
107,HBAR," 에브리웨어와 헤데라 해시그래프, NHS 시설을 위한 코로나 바이러스 백신 콜드체인 모니터링 제공",2021.01.20,KRW,70.7,67.1,79.7,-1.05%,12.73%
108,CBK," CBK, 스테이블 코인 KFD (KFC Dollar) 채굴 풀 추가",2021.01.19,KRW,3170.0,3075.0,3180.0,1.19%,0.32%
109,ENJ," 엔진코인, 일본 가상화폐 거래소 협회 (JVCEA) 에서 게임코인으로 최초 승인",2021.01.19,KRW,253.0,247.0,335.0,1.19%,32.41%
110,NPXS, 펀디엑스 토큰 NPXS 토큰 총 2790만개 소각,2021.01.19,KRW,0.43,0.4,0.43,1.19%,0.0%
111,CHZ," 칠리즈, AC 밀란 클럽과 파트너십 발표",2021.01.18,KRW,22.1,20.6,22.3,-1.37%,0.9%
112,ENJ," Enjin, Miss Bitcoin과 함께 일본 최초 자선 NFT 프로젝트 시작",2021.01.18,KRW,216.0,216.0,445.0,-1.37%,106.02%
113,BFC, BiFi 마일스톤 달성,2021.01.15,BTC,5.8e-07,5.3e-07,6e-07,3.26%,3.45%
114,PXL," 픽션네트워크, 사이버베인의 자회사 크로스(Cross)와 한중 NFT 시장 진출 파트너십 체결",2021.01.15,KRW,14.7,14.6,17.2,3.26%,17.01%
115,SOLVE," Solve.Care, 블록체인 글로벌 싱크 탱크인 Blockchain Research Institute의 회원이 됨",2021.01.15,KRW,109.0,105.0,116.0,3.26%,6.42%
116,HBAR, 헤데라21 해커톤: 2021년 1월 19일부터 자산토큰화 주제의 해커톤 개최,2021.01.15,KRW,58.9,55.7,70.4,3.26%,19.52%
117,WAXP," 왁스, 신규 디파이 모델 기반 보상 지급 시작",2021.01.15,KRW,44.0,42.6,45.6,3.26%,3.64%
118,SSX, 썸씽(SSX) 크립토 파이낸스 전문기업 “델리오”와 업무협약 체결,2021.01.15,KRW,25.1,24.5,26.9,3.26%,7.17%
119,PLA," 플레이댑, ‘아스타(ASTA)’ IP 홀더 수퍼트리와 블록버스터급 아스타 MMORPG 모바일게임 서비스를 위한 계약 체결",2021.01.14,KRW,144.0,140.0,149.0,7.27%,3.47%
120,IOST," 아이오에스티(IOST), 자사 블록체인서 스테이블코인 HUSD 지원",2021.01.14,KRW,11.8,11.0,14.6,7.27%,23.73%
121,HBAR," 글로벌 공급망 기업 AVC 글로벌, DLT플랫폼으로 헤데라 해시그래프 채택",2021.01.13,KRW,48.9,46.3,53.8,-3.78%,10.02%
122,HBAR, 텍사스주 국무 장관에 기록 검증 관련 PoC 제출,2021.01.12,KRW,55.7,42.5,56.0,-7.63%,0.54%
123,HBAR, 마일스톤 달성 - 헤데라의 메인넷은 1.5년 이내 5억건 이상의 트랜잭션 생성,2021.01.12,KRW,55.7,42.5,56.0,-7.63%,0.54%
124,BORA," BORA(보라), 바른손과 ‘블록체인 기반 영화 제작 투자 및 OTT 플랫폼’ 공동사업 MOU 체결",2021.01.12,KRW,35.1,30.8,36.5,-7.63%,3.99%
125,OBSR, 옵저버 개인기상관측기(Personal Weather Station) “W-Station” 2 차 출시 및 관측 보상 공시,2021.01.12,KRW,4.26,3.51,4.26,-7.63%,0.0%
126,BFC," Bifrost의 디파이 서비스 BiFi 출시, 향후 계획, BFC 유통량, 오딧 리포트",2021.01.08,BTC,7.4e-07,6e-07,7.4e-07,9.66%,0.0%
127,ONIT, 온버프 토큰(ONIT) 투자자 물량 배분 완료 공시 및 유통량 안내,2021.01.08,BTC,7.7e-07,7e-07,8.7e-07,9.66%,12.99%
128,FCT2, 피르마체인 언락 토큰 배분 공시,2021.01.07,KRW,51.8,51.6,78.4,7.01%,51.35%
129,OGN, 오리진 프로토콜 스테이블 코인 OUSD 업그레이드 재 출시,2021.01.06,BTC,3.86e-06,3.89e-06,4e-06,4.48%,3.63%
130,CHZ, 칠리즈 코인 소각 안내,2021.01.06,KRW,21.5,20.9,24.0,4.48%,11.63%
131,HUM, HUM 토큰의 현재 유통량 및 향후 계획 안내,2021.01.06,조회 불가,조회 불가,조회 불가,조회 불가,0.0447888097,조회 불가
132,FCT2," 피르마체인, 오라클 솔루션 ‘네스트 프로토콜’과 파트너십 체결",2021.01.06,KRW,50.0,48.5,54.6,4.48%,9.2%
133,AQT," 알파쿼크토큰, 유통량 공시",2021.01.04,KRW,2125.0,2000.0,2130.0,5.15%,0.24%
134,HUNT," HUNT 프로젝트, 2020년도 4분기 수수료 수입에 관한 헌트 토큰 소각 진행",2021.01.04,KRW,73.8,66.4,74.1,5.15%,0.41%
135,ARDR, 주요 마일스톤 달성 - 블록체인 팽창 문제 솔루션인 ‘프루닝’ 기능을 v3.0.0e 통해 공개,2020.12.30,KRW,75.8,69.8,75.8,0.82%,0.0%
136,IQ," 에브리피디아, 미국 최대 통신사 AP 통신과 파트너십 확장하여 미국 상원 선거 결과를 블록체인에 기록",2020.12.29,KRW,3.02,2.85,3.03,3.17%,0.33%
137,PXL," 픽션네트워크, NFT 개발을 위한 KIP-17 표준으로 통합",2020.12.28,KRW,14.2,14.0,16.6,-0.2%,16.9%
138,CTSI, 카르테시 $CTSI 메인넷 Reserve Mining 출시,2020.12.28,BTC,1.7e-06,1.38e-06,2.16e-06,-0.2%,27.06%
139,RINGX," RINGX 재단, ‘마이비(Mivy)’ 앱 프리 릴리즈",2020.12.28,BTC,1.5e-06,1.26e-06,1.5e-06,-0.2%,0.0%
140,SSX," 썸씽(SSX), 인앱구매 매출에 따른 장내 매수 공시",2020.12.28,KRW,26.4,25.3,28.5,-0.2%,7.95%
141,UPP," 삼성 블록체인 월렛의 웁살라시큐리티 AML 통합 보안 서비스, 전세계 19 개 국가로 확대 지원",2020.12.28,KRW,24.7,23.2,26.6,-0.2%,7.69%
142,FCT2," 피르마체인(FCT2), 장내 매수 완료 공시",2020.12.24,KRW,55.8,41.3,57.4,-1.48%,2.87%
