,코인 명,공시 명,날짜
264,AHT, 어뷰징 물량 회수 완료 및 일부 소각 안내,2020.09.21
265,OBSR," 옵저버, 중앙일보 미세먼지 및 기상데이터 공급 계약 체결",2020.09.21
266,HUNT, 헌트 토큰 소각 완료,2020.09.18
267,ENJ," ENJIN, 디지털 엔터테인먼트 에셋(DEA)과 함께 2020 NFT 시상식 개최",2020.09.17
268,ICX," ICON 2.0: 바탕, 새로운 블록체인 소프트웨어",2020.09.17
269,MLK," 밀크, Travala.com과 파트너십 체결",2020.09.18
270,PCI," 페이코인, 블록체인 플랫폼 및 서비스 제공업체 아이콘루프(ICONLOOP)와 업무협약 체결",2020.09.18
271,PLA, 플레이댑 토큰(PLA) 유통량 및 락업 일정 조정 안내,2020.09.17
272,BORA," BORA(보라), 카이엔터테인먼트와 테일즈런너 IP 모바일 게임 공동 사업 계약 체결",2020.09.17
273,HUNT, 백서 및 로드맵 수정 업데이트 안내,2020.09.17
274,ORBS," 오브스(Orbs), 재단물량 20억개 락업 계획 발표",2020.09.16
275,GOM2, 고머니2(GOM2) 토큰 소각 (5차),2020.09.16
276,ITAM, 아이텀게임즈 NFT 게임 아이템 거래를 위한 거래 플랫폼 ‘NFT.farm’ 신규 결제시스템 연동 공시,2020.09.16
277,ITAM, 아이텀게임즈 토큰 일일 분배 물량 주기 변경,2020.09.16
278,OBSR, 옵저버 개인기상관측기(Personal Weather Station) “W-Station” 출시 및 관측 보상 공시,2020.09.14
